2005/07/01 00:01:08 YVR SA 0000  40 FEW 220 -BKN 20 154/23.7/14.0/1510G16/CU1CI1 7007 RMK CONTRAILS UNOFF
2005/07/01 01:02:20 YVR SA 0100  40 FEW 100 FEW 220 -SCT 20 151/22.7/13.1/1410/CU1AC1CI1 RMK CONTRAILS / TR AC UNOFF
2005/12/05 10:01:01 YVR SA 1000  M10 BKN 13 OVC 15DZ- 326/2.5/1.8/0808/SC7SC3 RMK PCPN VRY LGT UNOFF
2005/12/05 11:00:52 YVR SA 1100  M9 OVC 15 324/2.6/1.7/0707/SC10  UNOFF
2005/12/05 12:01:12 YVR SA 1200  M8 OVC 15 318/2.7/1.9/0705/SC10 0012  UNOFF
2005/12/05 13:01:25 YVR SA 1300  M8 OVC 15 313/2.8/2.1/0906/SC10 RMK VIS N QUAD 10 SM UNOFF
2005/12/05 14:00:58 YVR SA 1400  M8 OVC 15 311/3.0/2.2/0804/SC10 RMK VIS N QUAD 10 SM UNOFF
2005/12/05 14:57:37 YVR SP 1456  M10 OVC 12 /3.1//0403/SC10  UNOFF
2005/12/05 15:01:48 YVR SA 1500  M10 BKN 14 OVC 12 311/3.1/2.4/0303/SC8SC2 6007  UNOFF
2005/12/05 15:56:20 YVR SP 1554  M10 BKN 14 OVC 6FG /3.4//0000/SC9SC1  UNOFF
2005/12/05 16:02:05 YVR SA 1600  M10 BKN 14 OVC 4FG 308/3.5/2.5/0000/SC9SC1  UNOFF
2005/12/05 16:54:34 YVR SP 1653  M9 BKN 60 OVC 7 /3.8//1902/SC8SC2  UNOFF
2005/12/05 17:01:28 YVR SA 1700  M8 BKN 65 OVC 7 308/3.8/2.8/0000/SC8SC2  UNOFF
2005/12/05 17:25:27 YVR SP 1724  8 FEW 17 SCT M71 OVC 7 /4.0//0000/SC3SC2AC5  UNOFF
2005/12/05 18:02:29 YVR SA 1800  8 FEW 15 SCT M70 OVC 7 310/4.3/3.3/2306/SC2SC2AC6 5001  UNOFF
2005/12/05 18:12:47 YVR SP 1811  8 FEW M12 BKN 70 BKN 7 /4.4//2405/SC3SC3AC3  UNOFF
2005/12/05 19:01:45 YVR SA 1900  M9 BKN 70 OVC 7 308/4.9/3.7/2407/SC9AC1  UNOFF
2005/12/05 19:58:10 YVR SP 1955  M8 BKN 14 OVC 7SHRA- /4.9//2306/SC8SC2  UNOFF
2005/12/05 20:01:38 YVR SA 2000  M8 BKN 14 OVC 7SHRA- 306/4.9/3.8/2305/SC8SC2 RMK PCPN VRY LGT UNOFF
2005/12/05 20:20:57 YVR SP 2019  M10 BKN 15 OVC 15SHRA- /5.0//2204/SC8SC2 RMK SHRA VRY LGT / VIS LWR N WUAD 7 UNOFF
2005/12/05 20:32:39 YVR SP 2030  M11 BKN 15 OVC 15 /5.0//2305/SC9SC1 RMK VIS LWR N QUAD 7 UNOFF
2005/12/05 20:54:56 YVR SP 2052  M10 BKN 15 OVC 15SHRA- /5.1//2305/SC9SC1 RMK PCPN VRY LGT UNOFF
2005/12/05 21:01:46 YVR SA 2100  M10 BKN 15 OVC 15SHRA- 300/5.1/3.8/2406/SC9SC1 7010 RMK PCPN VRY LGT / VIS LWR N QUAD 7 UNOFF
2005/12/05 21:14:57 YVR SP 2113  M10 BKN 15 OVC 10 /5.1//2207/SC9SC1  UNOFF
2005/12/05 22:03:13 YVR SA 2200  M10 OVC 15SHRA- 300/5.1/3.9/2304/SC10 RMK VIS N QUAD 4 UNOFF
2005/12/05 23:01:56 YVR SA 2300  M10 BKN 15 OVC 10SHRA- 299/5.3/4.4/2503/SC9SC1 RMK PCPN VRY LGT / VIS N QUAD 4 UNOFF
2005/12/05 23:27:04 YVR SP 2325  10 SCT M15 OVC 10SHRA- /5.4//2803/SC5SC5 RMK PCPN VRY LGT / VIS N QUAD 3 UNOFF
2005/12/05 23:49:43 YVR SP 2348  M9 BKN 15 OVC 4SHRA-FG /4.5//0503/SC7SC3  UNOFF

2005/12/06 00:02:37 YVR SA 0000  9 SCT M14 OVC 2SHRA-FG 302/4.2/3.8/0808/SC5SC5 5002  UNOFF
2005/12/06 00:19:17 YVR SP 0018  M7 BKN 13 OVC 2SHRA-FG /4.1//0908/SC7SC3  UNOFF
2005/12/06 00:40:04 YVR SP 0037  M8 BKN 13 OVC 3SHRA-FG /4.0//1106/SC7SC3  UNOFF
2005/12/06 00:58:08 YVR SP 0055  M9 BKN 15 OVC 3DZ-FG /4.0//1105/SC8SC2  UNOFF
2005/12/06 01:01:14 YVR SA 0100  M9 BKN 13 OVC 3DZ-FG 301/3.9/3.5/1006/SC8SC2  UNOFF
2005/12/06 02:01:32 YVR SA 0200  4 SCT M9 OVC 3DZ-FG 302/3.8/3.5/0907/SC4SC6  UNOFF
2005/12/06 02:18:42 YVR SP 0217  4 SCT M10 OVC 21/2DZ-FG /3.8//0905/SC4SC6 RMK PCPN VRY LGT UNOFF
2005/12/06 02:52:23 YVR SP 0251  M5 BKN 10 OVC 21/2DZ-FG /3.9//0906/ST6SC4 RMK VIS N QUAD 2 SM UNOFF
2005/12/06 03:01:35 YVR SA 0300  5 SCT M9 OVC 21/2DZ-FG 303/3.8/3.6/1006/ST4SC6 0001  UNOFF
2005/12/06 03:53:22 YVR SP 0351  M4 BKN 8 OVC 21/2DZ-FG /3.9//1007/ST6SC4  UNOFF
2005/12/06 03:59:13 YVR SP 0357  M3 BKN 8 OVC 21/2DZ-FG /3.8//1007/ST6SC4  UNOFF
2005/12/06 04:00:44 YVR SA 0400  M3 BKN 8 OVC 21/2DZ-FG 305/3.8/3.7/0907/ST6SC4 RMK VIS N QUAD 2 SM UNOFF
2005/12/06 04:08:28 YVR SP 0407  M4 BKN 8 OVC 2DZ-FG /3.9//0906/ST6SC4  UNOFF
2005/12/06 04:17:09 YVR SP 0416  4 SCT M7 OVC 2DZ-FG /3.7//1106/ST5SC5 RMK VIS N QUAD 11/2 SM UNOFF
2005/12/06 05:01:36 YVR SA 0500  4 FEW 7 SCT M11 OVC 2DZ-FG 305/3.8/3.7/0905/ST3SC2SC5 RMK VIS N QUAD 11/2 SM UNOFF
2005/12/06 05:09:12 YVR SP 0508  M4 BKN 10 OVC 2DZ-FG /3.9//1105/ST6SC4  UNOFF
2005/12/06 05:18:18 YVR SP 0517  4 SCT M10 OVC 2DZ-FG /3.7//0907/ST5SC5  UNOFF
2005/12/06 05:42:02 YVR SP 0540  4 SCT M11 OVC 3DZ-FG /3.7//1006/ST5SC5  UNOFF
2005/12/06 05:51:13 YVR SP 0550  4 FEW M12 OVC 4FG /3.7//1005/ST3SC7  UNOFF
2005/12/06 06:01:08 YVR SA 0600  4 FEW M13 OVC 5DZ-FG 305/3.7/3.6/1006/SF3SC7 2002  UNOFF
2005/12/06 06:26:20 YVR SP 0625  4 FEW 13 SCT M29 OVC 7 /3.6//1006/SF2SC3SC5  UNOFF
2005/12/06 07:01:30 YVR SA 0700  4 FEW M12 BKN 25 OVC 8 306/3.7/3.3/0705/SF2SC4SC4  UNOFF
2005/12/06 07:35:28 YVR SP 0734  4 FEW M16 BKN 22 OVC 10 /3.7//1107/SF2SC6SC2  UNOFF
2005/12/06 08:00:51 YVR SA 0800  4 FEW 16 SCT M36 OVC 15 308/3.7/2.9/1106/SF2SC3SC5  UNOFF
2005/12/06 09:01:14 YVR SA 0900  4 FEW 20 SCT M40 OVC 15 309/3.3/2.8/0000/SF2SC2SC6 2004  UNOFF
2005/12/06 10:01:08 YVR SA 1000  4 FEW M43 OVC 15 309/3.5/2.8/0000/SF2SC8  UNOFF
2005/12/06 11:00:48 YVR SA 1100  M52 OVC 15 308/2.6/1.9/0903/SC9  UNOFF
2005/12/06 12:29:41 YVR SA 1200  45 SCT 15 305/2.4/1.9/1002/SC4 0004  UNOFF
2005/12/06 13:00:52 YVR SA 1300  M51 BKN 15 304/2.1/1.7/0000/SC8  UNOFF
2005/12/06 14:02:14 YVR SA 1400  10 FEW M52 BKN 15 302/1.2/0.8/0000/SC2SC5 RMK VIS N QUAD 12 SM UNOFF
2005/12/06 15:04:38 YVR SA 1500  10 FEW M52 OVC 15 303/2.2/1.8/1106/SC1SC9 5002  UNOFF
2005/12/06 16:02:59 YVR SA 1600  M51 OVC 15PRFG 299/2.9/2.3/1104/SC10 RMK FOG BANK N UNOFF
2005/12/06 17:00:50 YVR SA 1700  M50 OVC 15 303/3.4/1.7/1103/SC10  UNOFF
2005/12/06 18:01:39 YVR SA 1800  M51 OVC 15 304/4.1/2.7/0904/SC10 5001  UNOFF
2005/12/06 19:01:44 YVR SA 1900  30 FEW M54 OVC 15 302/5.1/3.1/0905/SC3SC7  UNOFF
2005/12/06 19:01:44 YVR SA 1900  30 FEW M54 OVC 15PRFG 302/5.1/3.1/0905/SC3SC7 RMK FOG BANK N UNOFF
2005/12/06 20:02:56 YVR SA 2000  15 FEW 54 SCT M220 OVC 15 295/5.2/2.9/0702/SC1SC4CI3  UNOFF
2005/12/06 21:02:58 YVR SA 2100  13 SCT M54 BKN 220 OVC 15 287/5.5/3.2/3302/SC4SC4CI2 0017  UNOFF
2005/12/06 22:04:13 YVR SA 2200  15 SCT M54 BKN 220 OVC 15 285/5.4/3.6/2902/SC5SC4CI1  UNOFF
2005/12/06 23:04:51 YVR SA 2300  15 SCT M54 BKN 210 OVC 15 284/4.8/3.2/2203/SC4SC2CI3  UNOFF

2005/12/07 00:03:51 YVR SA 0000  13 FEW 55 SCT M240 OVC 15 281/4.1/2.8/2202/SC3SC2CI4 0006  UNOFF
2005/12/07 01:01:44 YVR SA 0100  11 SCT E55 BKN 240 OVC 15 280/3.7/2.6/1902/SC4SC2CI4  UNOFF
2005/12/07 02:03:22 YVR SA 0200  11 FEW 55 FEW M240 BKN 15 274/3.7/2.5/1303/SC1SC2CI4  UNOFF
2005/12/07 03:01:18 YVR SA 0300  10 FEW M240 BKN 15 271/3.3/2.4/1103/SF1CI7 0010  UNOFF
2005/12/07 03:57:45 YVR SP 0356  10 FEW 240 -BKN 15PRFG /2.2//1003/SF2CI3 RMK F BNK N OVR WTR UNOFF
2005/12/07 04:00:48 YVR SA 0400  10 FEW 240 -BKN 15PRFG 267/2.2/1.6/0904/SF3CI2 RMK F BNK N OVR WTR UNOFF
2005/12/07 05:00:57 YVR SA 0500  8 FEW 230 -BKN 15MIFG 264/2.6/2.5/0000/SF2CI3 RMK F BNK N UNOFF
2005/12/07 06:00:45 YVR SA 0600  10 FEW M240 BKN 15MIFG 262/1.7/1.5/0000/SC1CI5 7009  UNOFF
2005/12/07 06:54:19 YVR SP 0652  10 FEW M210 BKN 15PRFG /1.3//0000/SF1CI5 RMK F BNK N UNOFF
2005/12/07 07:00:46 YVR SA 0700  180 FEW M210 BKN 15PRFG 261/1.7/1.6/0000/AC2CS4 RMK F BNK N UNOFF
2005/12/07 07:08:00 YVR SP 0706  180 FEW M210 BKN 15MIFG /1.9//0000/AC2CS4  UNOFF
2005/12/07 08:01:10 YVR SA 0800  180 FEW M210 BKN 15PRFG 258/1.9/1.8/1703/AC1CS6 RMK F BNK N UNOFF
2005/12/07 08:25:07 YVR SP 0823  180 FEW M210 BKN 15MIFG /1.5//1202/AC1CS6  UNOFF
2005/12/07 09:00:52 YVR SA 0900  180 FEW M220 BKN 15MIFG 256/1.6/1.5/0000/AC3CS3 7006  UNOFF
2005/12/07 09:24:40 YVR SP 0923  180 FEW M220 BKN 15PRFG /2.0//1904/AC2CS5 RMK F BNK N UNOFF
2005/12/07 10:00:50 YVR SA 1000  190 SCT M220 BKN 15PRFG 252/1.7/1.0/0902/AC4CS3  UNOFF
2005/12/07 10:09:17 YVR SP 1008  190 SCT M210 BKN 15 /2.0//1102/AC4CS3  UNOFF
2005/12/07 11:00:59 YVR SA 1100  180 SCT 230 -BKN 15 253/0.8/0.0/0505/AC4CS1 RMK F BNK N OVR WTR UNOFF
2005/12/07 12:00:57 YVR SA 1200  M170 BKN 230 BKN 15 252/1.1/0.7/0903/AC6CS1 6004  UNOFF
2005/12/07 13:00:57 YVR SA 1300  M170 BKN 15 249/1.7/1.1/1102/AC8  UNOFF
2005/12/07 14:00:56 YVR SA 1400  M110 BKN 130 OVC 15 249/1.3/0.5/0503/AC6AC3  UNOFF
2005/12/07 15:04:07 YVR SA 1500  16 FEW M110 BKN 170 OVC 15 247/2.2/1.0/1604/SC2AC6AC2 0005  UNOFF
2005/12/07 16:01:12 YVR SA 1600  15 FEW M110 OVC 15 249/1.7/0.7/1206/SC3AC7  UNOFF
2005/12/07 18:02:01 YVR SA 1800  67 FEW M110 BKN 180 OVC 15 254/2.9/1.7/1103/AC2AC7AC1 5007  UNOFF
2005/12/07 19:03:02 YVR SA 1900  67 FEW M110 BKN 15 251/3.6/1.9/1003/AC3AC5  UNOFF
2005/12/07 20:03:24 YVR SA 2000  67 FEW M100 BKN 210 OVC 15 248/3.9/0.9/1102/AC1AC7CI2  UNOFF
2005/12/07 21:01:40 YVR SA 2100  70 FEW M93 BKN 210 OVC 15 243/4.3/1.6/1403/AC2AC6CI1 0011  UNOFF
2005/12/07 22:03:57 YVR SA 2200  50 FEW 80 FEW M100 BKN 15 239/4.0/1.6/1003/SC1AC2AC5  UNOFF
2005/12/07 23:03:01 YVR SA 2300  50 FEW M78 OVC 12 240/4.2/1.8/1603/SC2AC8  UNOFF

2005/12/08 00:04:03 YVR SA 0000  M73 BKN 100 OVC 12 239/3.7/1.5/0000/AC7AC2 5004  UNOFF
2005/12/08 01:00:58 YVR SA 0100  M77 BKN 110 OVC 15 242/3.7/1.3/0000/AC8AC2  UNOFF
2005/12/08 02:03:31 YVR SA 0200  60 FEW M75 OVC 15 240/3.5/1.3/1402/SC3AC7  UNOFF
2005/12/08 03:00:57 YVR SA 0300  25 FEW M68 OVC 15 239/4.0/1.2/1503/SC2AC7 0000  UNOFF
2005/12/08 04:00:46 YVR SA 0400  64 -SCT 15 246/2.6/0.1/1305/SC3  UNOFF
2005/12/08 05:00:59 YVR SA 0500  14 -BKN 65 -BKN 15 251/0.7/-1.4/2002/SC4SC1  UNOFF
2005/12/08 05:39:53 YVR SP 0537  M15 BKN 65 OVC 15 /2.0//0000/SC8SC1  UNOFF
2005/12/08 06:00:58 YVR SA 0600  15 -SCT 65 -SCT 15 251/2.0/-0.4/0000/SC3SC1 1012  UNOFF
2005/12/08 07:01:01 YVR SA 0700  15 -FEW 15 255/1.4/-0.4/0000/SC2  UNOFF
2005/12/08 08:00:49 YVR SA 0800  M17 BKN 15 260/0.3/-0.7/0904/SC8  UNOFF
2005/12/08 09:01:04 YVR SA 0900  15 SCT M18 BKN 15 263/0.6/0.1/0000/SC4SC3 2012  UNOFF
2005/12/08 10:03:32 YVR SA 1000  20 SCT M45 BKN 15 263/1.3/0.7/1205/SC4SC4  UNOFF
2005/12/08 11:01:41 YVR SA 1100  M19 BKN 15 266/0.8/0.1/1007/SC8  UNOFF
2005/12/08 11:55:50 YVR SP 1154  M19 OVC 15PRFG /0.5//0803/SC10 RMK F BNK N OVR WTR UNOFF
2005/12/08 12:01:05 YVR SA 1200  M18 OVC 15PRFG 267/0.5/0.1/0904/SC10 2004 RMK F BNK N OVR WTR UNOFF
2005/12/08 13:01:58 YVR SA 1300  M17 OVC 12PRFG 267/0.4/0.1/0904/SC10 RMK F BNK N VIS N QUAD LWR 1 SM UNOFF
2005/12/08 14:01:55 YVR SA 1400  17 FEW 12MIFG 269/-0.1/-0.4/0904/SC2 RMK F BNK N VIS LWR 1 SM UNOFF
2005/12/08 14:10:36 YVR SP 1409  17 FEW 6FG /-0.9//0803/SC2 RMK VIS NW - NE QUAD LWR 1 SM UNOFF
2005/12/08 14:54:10 YVR SP 1453  -X 18 SCT 2FG /-0.9//0904/FG2SC2 RMK VIS N 3/4 UNOFF
2005/12/08 15:04:33 YVR SA 1500  -X 1FG 272/-0.8/-1.1/0904/FG9 5005 RMK VIS N 1/2 UNOFF
2005/12/08 15:33:51 YVR SP 1532  -X 1/2FZFG /-0.2//0803/FG9 RMK VIS N 1/4 UNOFF
2005/12/08 15:55:44 YVR SP 1554  -X 1/4FZFG /-0.1//1204/FG9  UNOFF
2005/12/08 16:05:07 YVR SA 1600  W3 X 1/4FZFG 275/0.0/-0.2/1204/FG10 RMK BLN DSAPRD 500 FT UNOFF
2005/12/08 16:17:15 YVR SP 1616  -X 1/8FZFG /-0.1//1105/FG9  UNOFF
2005/12/08 16:28:37 YVR SP 1627  -X M7 OVC 1/8FZFG /0.0//1005/FG9SF1  UNOFF
2005/12/08 16:37:52 YVR SP 1636  -X M7 BKN 20 OVC 1/4FZFG /0.0//0904/FG6SF2SC1 RMK VIS N 1/8 UNOFF
2005/12/08 17:03:40 YVR SA 1700  -X M7 OVC 1/4FG 284/0.4/0.2/1104/FG7SF2 RMK VIS N 1/8 UNOFF
2005/12/08 18:03:15 YVR SA 1800  -X M7 BKN 20 OVC 1/4FG 287/0.4/0.4/1106/FG6SF1SC2 1015 RMK VIS N 1/8 UNOFF
2005/12/08 18:57:26 YVR SP 1854  -X M7 BKN 21 OVC 3/4FG /1.3//1106/FG5SF1SC2 RMK VIS N 3/8 UNOFF
2005/12/08 19:04:00 YVR SA 1900  -X M20 OVC 3/4FG 290/1.2/1.2/1006/FG6SC2 RMK VIS N 3/8 UNOFF
2005/12/08 19:18:56 YVR SP 1917  -X M6 BKN 20 OVC 1FG /1.4//1006/FG5SF2SC3  UNOFF
2005/12/08 19:54:33 YVR SP 1952  -X M6 BKN 19 OVC 2FG /1.7//1005/FG5ST2SC2  UNOFF
2005/12/08 20:05:10 YVR SA 2000  -X M6 BKN 20 OVC 21/2FG 289/1.8/1.8/1005/FG3ST3SC3  UNOFF
2005/12/08 20:36:23 YVR SP 2031  -X 5 FEW 20 SCT 240 -OVC 3FG /2.6//1305/FG1SF1SC2CI1 RMK VIS N 2 UNOFF
2005/12/08 21:04:51 YVR SA 2100  6 FEW M20 BKN 240 OVC 4FG 286/2.8/2.3/1103/SF2SC5CI1 0001 RMK VIS N 21/2 UNOFF
2005/12/08 22:05:58 YVR SA 2200  20 FEW 200 FEW 240 -BKN 7 283/4.1/1.5/1307/SC2CC1CI1  UNOFF
2005/12/08 23:02:46 YVR SA 2300  20 FEW M140 BKN 210 OVC 12 284/4.2/1.7/0000/SC2AC4CI2 RMK VIS N LWR UNOFF

2005/12/09 00:04:16 YVR SA 0000  20 FEW 100 SCT M200 BKN 240 OVC 12 287/3.7/1.7/0000/SC1AC3CC2CI2 5001 RMK VIS N LWR UNOFF
2005/12/09 01:02:59 YVR SA 0100  20 FEW 100 SCT M200 BKN 240 OVC 10 288/2.2/1.3/1004/SC1AC3CC2CI2  UNOFF
2005/12/09 02:04:42 YVR SA 0200  20 FEW 100 SCT M240 OVC 12PRFG 295/1.9/1.2/1104/SC1AC3CI6 RMK FG BANK N VIS 6 UNOFF
2005/12/09 02:46:59 YVR SP 0245  85 SCT M140 OVC 6FG /1.9//1007/AC4AC3 RMK VIS LWR N QUAD 3 SM UNOFF
2005/12/09 03:00:44 YVR SA 0300  85 SCT M130 BKN 140 OVC 6FG 287/2.0/1.4/1009/AC4AC4AC2 0000 RMK VIS LWR N QUAD 3 SM UNOFF
2005/12/09 03:16:29 YVR SP 0315  85 FEW M130 BKN 140 OVC 8PRFG /2.0//1006/AC3AC3AC1 RMK F BNK NW - NE OVR WTR UNOFF
2005/12/09 03:24:29 YVR SP 0323  85 FEW 130 SCT M160 OVC 6FG /1.9//1106/AC2AC2AC2 RMK VIS N QUAD 3 SM UNOFF
2005/12/09 03:48:33 YVR SP 0347  85 SCT M130 OVC 8PRFG /2.2//1005/AC4AC4 RMK VIS LWR NW - NE 4 SM UNOFF
2005/12/09 04:01:14 YVR SA 0400  85 SCT M120 BKN 220 OVC 12PRFG 295/2.1/1.5/0904/AC4AC2CI2 RMK F BNK N OVR WTR VIS N QUAD 3 SM UNOFF
2005/12/09 05:01:05 YVR SA 0500  85 FEW M120 OVC 15PRFG 290/2.3/1.4/1007/AC3AC6  UNOFF
2005/12/09 05:52:58 YVR SP 0551  67 FEW 120 -BKN 15 /2.2//1105/AC2AC3  UNOFF
2005/12/09 06:01:15 YVR SA 0600  67 FEW M120 BKN 190 BKN 15 299/2.0/0.9/1204/AC2AC4AC1 5012  UNOFF
2005/12/09 07:00:44 YVR SA 0700  M77 BKN 80 OVC 15 307/0.9/0.3/0000/AC6AC3  UNOFF
2005/12/09 08:01:00 YVR SA 0800  M82 BKN 15 305/2.1/1.2/1404/AC8  UNOFF
2005/12/09 09:00:53 YVR SA 0900  100 FEW 15PRFG 310/1.1/0.2/0000/AC1 2011  UNOFF
2005/12/09 10:01:17 YVR SA 1000  100 FEW 15MIFG 310/0.3/0.1/0402/AC1  UNOFF
2005/12/09 11:00:34 YVR SA 1100  100 FEW 15MIFG 308/0.3/0.1/0804/AC1  UNOFF
2005/12/09 11:23:36 YVR SP 1122  100 FEW 15PRFG /-0.5//0803/AC1 RMK F BNK N UNOFF
2005/12/09 12:01:17 YVR SA 1200  100 -SCT 15MIFG 315/0.2/0.0/0502/AC3 5005  UNOFF
2005/12/09 13:01:08 YVR SA 1300  100 -BKN 15MIFG 319/0.7/0.4/0000/AC5  UNOFF
2005/12/09 14:00:31 YVR SB 1400  100 FEW 15MIFG 329/-1.2/-1.4/3604/AC1  UNOFF
2005/12/09 14:00:31 YVR SA 1400  100 FEW 15MIFG 329/-1.2/-1.2/3604/AC1  UNOFF
2005/12/09 15:03:57 YVR SA 1500  100 FEW 220 -FEW 15 326/-0.6/-1.0/0000/AC1CI1 0011  UNOFF
2005/12/09 16:03:53 YVR SA 1600  100 FEW 220 -FEW 15MIFG 330/-0.5/-0.9/1402/AC1CI1  UNOFF
2005/12/09 17:03:09 YVR SA 1700  100 FEW 220 -OVC 15 334/-0.1/-0.3/0802/AC1CI1  UNOFF
2005/12/09 18:05:21 YVR SA 1800  100 SCT M210 OVC 15 339/2.6/2.1/0000/AC5CI1 2013  UNOFF
2005/12/09 19:03:35 YVR SA 1900  100 FEW 200 FEW 230 -BKN 20 335/4.2/2.8/2304/AC1CC1CI1  UNOFF
2005/12/09 20:05:26 YVR SA 2000  120 -SCT 200 -BKN M230 BKN 20 331/5.7/2.3/3109/AC4CC1CI1  UNOFF
2005/12/09 21:05:12 YVR SA 2100  120 FEW 200 FEW M240 BKN 20 331/5.1/2.9/2906/AC1CC1CI6 6008  UNOFF
2005/12/09 22:05:08 YVR SA 2200  120 FEW M180 BKN 240 OVC 20 331/5.1/3.2/3006/AC3AC3CI2  UNOFF
2005/12/09 23:04:29 YVR SA 2300  180 SCT M240 OVC 20 331/5.0/3.2/2908/AC5CI4  UNOFF

2005/12/10 00:01:57 YVR SA 0000  80 FEW 170 SCT M220 OVC 20 326/5.0/3.1/2806/AC2AC3CI3 0005  UNOFF
2005/12/10 01:03:06 YVR SA 0100  80 FEW M160 BKN 220 OVC 20 326/4.1/3.0/3106/AC2AC4CI2  UNOFF
2005/12/10 02:02:29 YVR SA 0200  80 FEW M190 BKN 240 OVC 20 325/3.3/2.6/3403/AC2AC5CI2  UNOFF
2005/12/10 03:03:14 YVR SA 0300  80 FEW 150 FEW M240 BKN 20 326/4.0/2.3/0000/AC2AC1CI5 5000  UNOFF
2005/12/10 04:00:34 YVR SA 0400  90 FEW 150 FEW M240 BKN 20 324/3.2/1.6/0102/AC2AC1CI5  UNOFF
2005/12/10 05:01:01 YVR SA 0500  90 FEW 140 FEW M230 BKN 20 326/3.3/2.0/0000/AC2AC1CI5  UNOFF
2005/12/10 06:01:02 YVR SA 0600  100 FEW M210 BKN 20 326/2.0/1.4/0804/AC2CI4 5000  UNOFF
2005/12/10 07:01:34 YVR SA 0700  100 FEW M220 BKN 15 331/2.2/1.7/1106/AC2CI6  UNOFF
2005/12/10 08:01:42 YVR SA 0800  80 FEW M220 BKN 15 330/1.7/1.1/1104/AC2CI7  UNOFF
2005/12/10 09:02:17 YVR SA 0900  60 FEW 80 FEW M220 BKN 15 329/2.3/1.8/0802/SC1AC2CI6 0003  UNOFF
2005/12/10 10:01:13 YVR SA 1000  50 FEW 80 FEW M210 BKN 15 328/1.9/1.3/0000/SC1AC1CI7  UNOFF
2005/12/10 11:01:14 YVR SA 1100  50 FEW 80 FEW M220 BKN 15MIFG 326/1.4/1.3/0000/SC1AC1CI7  UNOFF
2005/12/10 12:01:53 YVR SA 1200  70 FEW M220 BKN 15MIFG 322/0.9/0.8/0000/AC1CI7 0007  UNOFF
2005/12/10 13:01:28 YVR SA 1300  70 FEW 160 FEW M240 BKN 15MIFG 319/1.4/1.4/0000/AC1AC1CI7 RMK VIS LWR NE UNOFF
2005/12/10 14:00:35 YVR SA 1400  150 FEW M240 OVC 15MIFG 316/1.6/1.5/2003/AC2CI7 RMK VIS LWR NE - E UNOFF
2005/12/10 15:03:19 YVR SA 1500  70 FEW M190 OVC 15MIFG 312/1.3/1.2/0000/AC2AC7 7010  UNOFF
2005/12/10 16:04:20 YVR SA 1600  70 FEW M190 OVC 15 308/2.2/1.9/1402/AC2AC7  UNOFF
2005/12/10 17:03:16 YVR SA 1700  M190 BKN 30 307/1.5/1.2/1103/AC8  UNOFF
2005/12/10 18:01:40 YVR SA 1800  M190 BKN 30 303/2.9/2.6/1103/AC7 7009  UNOFF
2005/12/10 19:04:19 YVR SA 1900  180 FEW 210 -BKN 30 298/4.9/3.3/0000/AC2CI1  UNOFF
2005/12/10 20:00:27 YVR SA 2000  180 FEW 210 -BKN 30 291/6.1/4.8/3003/AC2CI1  UNOFF
2005/12/10 21:02:37 YVR SA 2100  180 FEW 220 -BKN 30 284/6.1/4.7/3007/AC1CI2 7019  UNOFF
2005/12/10 22:02:46 YVR SA 2200  50 FEW 220 -BKN 30 277/6.3/4.9/3008/SC1CI2  UNOFF
2005/12/10 23:01:38 YVR SA 2300  70 FEW 220 -BKN 30 271/6.0/4.7/3007/AC1CI1  UNOFF

2005/12/11 00:01:18 YVR SA 0000  70 FEW 220 -OVC 30 267/4.5/3.7/3106/AC1CI1 6017  UNOFF
2005/12/11 01:01:43 YVR SA 0100  240 -BKN 30 262/3.5/3.2/3204/CI1  UNOFF
2005/12/11 02:03:52 YVR SA 0200  240 -FEW 30 258/3.3/3.0/3304/CI0  UNOFF
2005/12/11 03:01:24 YVR SA 0300  240 FEW 30MIFG 256/2.2/1.7/3202/CI1 7011  UNOFF
2005/12/11 03:13:17 YVR SP 0312  240 FEW 30MIFG /1.4//3203/CI1  UNOFF
2005/12/11 04:01:10 YVR SA 0400  90 FEW 210 FEW 20MIFG 253/2.0/1.9/0000/AC1CI1  UNOFF
2005/12/11 04:21:45 YVR SP 0420  90 FEW 210 FEW 20MIFG /1.7//0000/AC1CI1  UNOFF
2005/12/11 04:58:54 YVR SP 0456  4 SCT 210 SCT 20MIFG /1.2//0000/SC4CI1  UNOFF
2005/12/11 05:01:14 YVR SA 0500  M4 BKN 210 BKN 15MIFG 249/1.3/1.3/0000/SC6CI1  UNOFF
2005/12/11 05:24:33 YVR SP 0522  M3 OVC 6FG /1.9//0000/SC10 RMK VIS LWR N UNOFF
2005/12/11 05:28:37 YVR SP 0527  -X M3 OVC 3FG /2.1//0000/FG4SC6  UNOFF
2005/12/11 05:36:46 YVR SP 0533  M3 OVC 4FGMIFG /2.4//3104/SC10  UNOFF
2005/12/11 05:44:02 YVR SP 0542  M2 BKN 5 OVC 3FG /2.5//3204/SC6SC4  UNOFF
2005/12/11 05:44:56 YVR SP 0543  M2 BKN 5 OVC 11/2FG /2.6//3204/SC6SC4  UNOFF
2005/12/11 05:46:54 YVR SP 0545  M2 BKN 5 OVC 1FG /2.5//3204/SC6SC4  UNOFF
2005/12/11 05:47:28 YVR SP 0546  M2 BKN 5 OVC 3/4FG /2.4//3304/SC6SC4  UNOFF
