2005/04/05 00:04:42 YVR SA 0000  44 SCT E80 BKN 15 193/11.5/-0.1/1805/SC5AC1 2005 RMK TCU EMBD UNOFF
2005/04/05 01:04:38 YVR SA 0100  45 FEW 80 FEW 15 198/10.8/0.8/1410/TCU2AC1 RMK SH DIST N UNOFF
2005/04/05 02:01:12 YVR SA 0200  45 FEW 80 -SCT 200 -BKN 15 200/9.8/2.9/1610/SC1AC1CI1 RMK SH DIST NE UNOFF
2005/04/05 03:01:24 YVR SA 0300  37 FEW 80 -SCT 220 -BKN 15 206/8.6/3.0/1410/SC1AC1CI0 5013 RMK SH DIST N UNOFF
2005/05/20 22:02:12 YVR SA 2200  34 FEW 100 SCT 220 -OVC 15 149/16.6/8.1/2409/TCU3AC1CI1  UNOFF
2005/05/20 23:02:01 YVR SA 2300  37 FEW M78 BKN 220 OVC 15 154/15.5/7.6/2309/TCU3AC5CI1  UNOFF

2005/05/21 00:06:56 YVR SA 0000  37 FEW 55 SCT M74 BKN 220 OVC 15 150/15.1/9.0/2411/TCU2SC2AC3CS3 0002  UNOFF
2005/05/21 00:08:12 YVR SA 0000  37 FEW 55 SCT M74 BKN 220 OVC 15 160/15.1/9.0/2411/TCU2SC2AC3CS3 5012  UNOFF
Warning: at line 1337: duplicated data: prev hr = 16 PST  current hr = 16 PST
2005/05/21 01:04:03 YVR SA 0100  35 FEW M66 BKN 80 BKN 220 OVC 15 163/14.7/8.5/2504/SC3AC4AC2CI0  UNOFF
2005/05/21 02:02:22 YVR SA 0200  35 FEW 40 FEW M56 BKN 80 OVC 15VCSH 166/13.8/9.9/2205/CF1TCU1SC5AC2  UNOFF
2005/05/21 02:11:57 YVR SP 0210  35 FEW 40 FEW M54 BKN 80 OVC 15SHRA- ///2002/CF1TCU1SC5AC2  UNOFF
2005/05/21 02:31:55 YVR SP 0230  35 FEW 54 SCT M100 BKN 220 BKN 15 ///2105/CF1SC3AC3CI1 RMK TR CF UNOFF
2005/05/21 03:01:11 YVR SA 0300  35 FEW 40 FEW 45 SCT M95 BKN 220 BKN 15 171/13.9/7.8/1808/CF1TCU1CB2AC3CI1 5011 RMK CB NE QUAD SHS NW QUAD / NE QUAD UNOFF
2005/05/21 04:01:15 YVR SA 0400  30 FEW 35 FEW 90 -SCT 110 -BKN 220 -OVC 15 176/13.2/7.1/1905/TCU1CB1AC2AC1CI1 RMK CB DIST NE UNOFF
2005/05/21 05:00:55 YVR SA 0500  40 FEW M70 BKN 80 OVC 15 185/12.8/7.7/1605/SC2AC5AC1  UNOFF
2005/05/21 06:01:02 YVR SA 0600  40 FEW 49 -BKN 100 -BKN 15 192/11.8/7.8/1604/SC3SC1AC1 5021  UNOFF
2005/05/21 07:01:10 YVR SA 0700  M48 BKN 15 198/11.3/7.9/1204/SC8  UNOFF
2005/05/21 08:01:19 YVR SA 0800  45 SCT M53 BKN 70 BKN 15 204/11.8/7.1/1804/SC4SC2AC1  UNOFF
2005/05/21 09:01:04 YVR SA 0900  45 SCT M80 BKN 100 BKN 15 210/9.7/8.0/1204/SC4AC2AC1 2018  UNOFF
2005/05/21 09:43:40 YVR SP 0942  45 FEW M54 BKN 15SHRA- ///0904/SC3SC5  UNOFF
2005/05/21 10:01:01 YVR SA 1000  45 FEW M55 BKN 100 BKN 15SHRA- 215/10.1/8.6/0907/SC2SC4AC2  UNOFF
2005/05/21 11:01:06 YVR SA 1100  40 FEW M51 OVC 15SHRA- 216/10.1/8.8/1008/SC3SC6  UNOFF
2005/05/21 11:50:29 YVR SP 1149  40 FEW M58 BKN 15 ///1607/SC2SC6  UNOFF
2005/05/21 12:01:19 YVR SA 1200  30 FEW M65 BKN 110 BKN 15 217/10.8/8.0/1506/SC2SC4AC1 1007  UNOFF
2005/05/21 13:01:06 YVR SA 1300  30 FEW 60 -SCT 15 219/10.6/8.4/1406/SC2SC2 RMK TCU EMBD UNOFF
2005/05/21 14:03:18 YVR SA 1400  25 FEW M61 BKN 90 BKN 15 219/11.4/9.0/1006/TCU1SC5AC2  UNOFF
2005/05/21 15:04:01 YVR SA 1500  30 SCT M59 BKN 15 217/12.1/8.2/1508/SC4SC5 0000  UNOFF
2005/05/21 15:23:04 YVR SP 1522  14 FEW 18 SCT M59 BKN 15 ///1307/CF1TCU3SC5  UNOFF
2005/05/21 16:01:40 YVR SA 1600  M22 BKN 30 BKN 69 BKN 220 OVC 15 216/13.1/8.2/1310/SC6SC1AC2CS0  UNOFF
2005/05/21 17:01:48 YVR SA 1700  M22 BKN 48 BKN 220 OVC 15 215/13.4/7.8/1113/SC6SC3CS1  UNOFF
2005/05/21 17:18:30 YVR SP 1716  M23 BKN 44 BKN 220 OVC 15 ///1215/SC7SC2CS1 RMK TWR REP WATERSPOUT 1 M S OF BOWEN ISLD UNOFF
2005/05/21 18:03:12 YVR SA 1800  25 FEW M51 BKN 220 OVC 15 209/14.2/7.5/1214G20/TCU3SC6CS1 0008  UNOFF
2005/05/21 19:02:45 YVR SA 1900  32 SCT M59 BKN 220 OVC 15 198/14.7/6.9/1114/SC5SC3CS2  UNOFF
2005/05/21 20:02:26 YVR SA 2000  M38 BKN 140 BKN 220 OVC 15 189/15.3/7.1/1110G15/SC7AS2CS1  UNOFF
2005/05/21 21:05:07 YVR SA 2100  40 SCT M140 OVC 15 179/16.4/7.3/1314/SC5AS4 7030  UNOFF
2005/05/21 22:05:29 YVR SA 2200  40 FEW M90 BKN 140 OVC 15 168/16.7/7.0/1410G15/SC3AC4AS3  UNOFF
2005/05/21 23:01:04 YVR SA 2300  40 FEW M84 BKN 140 OVC 15 156/16.6/7.0/1009/SC3AC5AS2  UNOFF

2005/05/22 00:05:01 YVR SA 0000  M58 BKN 90 OVC 15 152/15.7/6.4/1615/SC9AC1 6027  UNOFF
2005/05/22 00:09:34 YVR SP 0008  M48 BKN 90 OVC 15SHRA- ///1623G31/SC9AC1  UNOFF
2005/05/22 00:33:46 YVR SP 0032  48 SCT M100 BKN 150 OVC 15 ///1116/SC4AC5AS1 RMK SH DIST N NE UNOFF
2005/05/22 01:03:41 YVR SA 0100  M58 BKN 71 OVC 15 137/14.5/4.8/0815G21/SC8AC2  UNOFF
2005/05/22 01:15:41 YVR SP 0114  M52 BKN 65 OVC 15SHRA- ///1017/SC7SC3  UNOFF
2005/05/22 02:01:41 YVR SA 0200  20 FEW M46 BKN 62 OVC 6SHRA-FG 136/13.5/6.7/1114G20/SF2SC6SC2  UNOFF
2005/05/22 03:02:18 YVR SA 0300  28 SCT M52 BKN 60 OVC 10 134/13.4/11.8/1017/SF4SC4SC2 6018  UNOFF
2005/05/22 04:00:51 YVR SA 0400  28 FEW M50 BKN 61 OVC 8SHRA- 130/11.6/9.2/1014G19/SF3SC5SC2  UNOFF
2005/05/22 04:31:05 YVR SP 0429  25 FEW M51 BKN 83 OVC 10 ///1114G19/SF3SC5AC2  UNOFF
2005/05/22 05:01:01 YVR SA 0500  25 FEW M38 OVC 10 134/12.0/8.5/1314G19/SF3SC7  UNOFF
2005/05/22 05:30:02 YVR SP 0528  18 FEW M37 OVC 3SHRA-FG ///1414/SF3SC7  UNOFF
2005/05/22 06:01:58 YVR SA 0600  17 FEW M37 OVC 3SHRA-FG 136/11.4/9.4/1513G18/SF3SC7 5002  UNOFF
2005/05/22 06:14:17 YVR SP 0612  M11 BKN 23 OVC 2SHRAFG ///1910G15/SF7TCU3  UNOFF
2005/05/22 06:31:57 YVR SP 0630  15 SCT M23 OVC 4SHRA-FG ///1611G17/SF4SC6  UNOFF
2005/05/22 07:01:39 YVR SA 0700  25 SCT M80 BKN 20 132/10.6/8.9/1311/SF4AC4  UNOFF
2005/05/22 08:01:05 YVR SA 0800  M37 BKN 100 BKN 20 136/10.6/8.7/1008/SC6AC2  UNOFF
2005/05/22 09:00:47 YVR SA 0900  37 SCT M74 OVC 20 140/10.6/8.5/1109/SC4AC5 5004  UNOFF
2005/05/22 10:00:54 YVR SA 1000  35 FEW M75 OVC 20 145/10.6/8.1/1308/SC3AC7  UNOFF
2005/05/22 10:54:48 YVR SP 1050  35 FEW M56 OVC 10SHRA- ///1412G19/SC3SC7  UNOFF
2005/05/22 11:01:03 YVR SA 1100  35 FEW M56 OVC 10SHRA- 150/11.0/7.7/1314/SC3SC7  UNOFF
2005/05/22 12:02:31 YVR SA 1200  35 FEW M51 OVC 10SHRA- 150/10.5/7.6/1513G20/SC3SC7 1010  UNOFF
2005/05/22 13:02:42 YVR SA 1300  35 FEW M52 OVC 8SHRA- 158/10.6/7.7/1511/SC2SC8  UNOFF
2005/05/22 13:52:58 YVR SP 1350  18 FEW 35 SCT M56 OVC 10 ///1313/SC1SC3SC6  UNOFF
2005/05/22 14:02:16 YVR SA 1400  20 FEW 35 SCT M57 OVC 10 160/10.7/7.7/1414G19/SC1SC3SC6  UNOFF
2005/05/22 15:03:32 YVR SA 1500  30 FEW M57 OVC 10 160/11.1/7.5/1421/SC3SC7 1010 RMK VIS LWR W UNOFF
2005/05/22 15:19:39 YVR SP 1517  30 FEW M50 OVC 8SHRA- ///1419G25/SC2SC8  UNOFF
2005/05/22 16:03:11 YVR SA 1600  30 FEW M48 OVC 10 169/11.3/7.7/1414G22/SC1SC9  UNOFF
2005/05/22 17:02:45 YVR SA 1700  30 FEW M45 OVC 10 173/11.9/8.0/1316G21/SC1SC9  UNOFF
2005/05/22 17:14:40 YVR SP 1712  30 FEW M44 OVC 8SHRA- ///1514G21/SC1SC9  UNOFF
2005/05/22 18:02:48 YVR SA 1800  30 FEW M45 OVC 6SHRA-FG 180/11.6/8.2/1415/SC2SC8 5020  UNOFF
2005/05/22 18:47:20 YVR SP 1845  30 FEW M50 BKN 100 BKN 10 ///1316/SC1SC6AC2  UNOFF
2005/05/22 19:03:29 YVR SA 1900  30 FEW M54 BKN 82 BKN 12 182/13.1/8.8/1317/SC1SC5AC3  UNOFF
2005/05/22 19:30:15 YVR SP 1928  24 FEW M57 BKN 90 OVC 12SHRA- ///1413G19/SC3SC4AC3  UNOFF
2005/05/22 19:51:07 YVR SP 1948  24 FEW M53 BKN 92 OVC 12 ///1413G20/SC2SC6AC2  UNOFF
2005/05/22 20:01:49 YVR SA 2000  24 FEW M52 OVC 12 188/12.4/7.7/1413G20/SC1SC9  UNOFF
2005/05/22 20:09:56 YVR SP 2007  25 FEW M55 OVC 12SHRA- ///1413/SC1SC9  UNOFF
2005/05/22 20:36:58 YVR SP 2035  25 FEW M51 BKN 90 OVC 12 ///1710G18/SC1SC8AC1  UNOFF
2005/05/22 20:50:36 YVR SP 2048  25 FEW M50 BKN 90 OVC 12SHRA- ///1713G19/SC2SC7AC1  UNOFF
2005/05/22 21:02:13 YVR SA 2100  30 FEW M52 OVC 10SHRA- 197/12.1/7.1/1808/SC1SC9 5017  UNOFF
2005/05/22 21:27:28 YVR SP 2125  30 FEW M52 BKN 80 OVC 12 ///1408/SC2SC6AC2  UNOFF
2005/05/22 22:03:12 YVR SA 2200  30 FEW M55 BKN 77 BKN 15 198/13.1/7.7/1512G18/SC1SC7AC1  UNOFF
2005/05/22 23:05:46 YVR SA 2300  30 FEW M60 BKN 90 OVC 15 200/13.2/6.4/1816G21/SC2SC7AC1  UNOFF

2005/05/23 00:04:57 YVR SA 0000  35 FEW M49 BKN 100 BKN 15 203/13.0/6.9/1912G17/SC3SC5AC1 2006  UNOFF
2005/05/23 01:01:05 YVR SA 0100  35 FEW M61 BKN 90 BKN 15 205/12.8/6.9/1810G15/SC3SC5AC1  UNOFF
2005/05/23 02:00:59 YVR SA 0200  35 FEW 53 SCT M110 BKN 15 210/12.7/6.5/1810G16/SC3SC2AC4 RMK SHS DIST NW QUAD / NE QUAD UNOFF
2005/05/23 03:01:20 YVR SA 0300  35 FEW 45 SCT M92 BKN 15 212/12.4/6.7/1610/SC3SC2AC4 2009 RMK SHS DIST NE QUAD UNOFF
2005/05/23 04:01:10 YVR SA 0400  35 FEW 45 SCT M95 OVC 15 215/12.1/6.3/1709/SC3SC1AC5 RMK VIRGA SHS DIST NW QUAD / NE QUAD UNOFF
2005/05/23 04:20:09 YVR SP 0419  35 FEW M43 BKN 90 OVC 12SHRA- ///1808/SC2SC5AC2  UNOFF
2005/05/23 05:01:08 YVR SA 0500  35 FEW M65 BKN 75 OVC 15SHRA- 223/11.6/7.2/1709/SC3SC5AC1 RMK VIS LWR N QUAD 12 SM UNOFF
2005/05/23 05:31:08 YVR SP 0529  35 FEW 60 SCT M76 OVC 15 ///1606/SC3SC2AC5  UNOFF
2005/05/23 05:41:26 YVR SP 0540  35 FEW 60 SCT M75 OVC 15SHRA- ///1607/SC3SC2AC5  UNOFF
2005/05/23 06:01:16 YVR SA 0600  35 FEW M60 BKN 75 OVC 15SHRA- 226/11.5/7.2/1706/SC3SC4AC3 2014  UNOFF
2005/05/23 07:02:26 YVR SA 0700  35 FEW M53 OVC 15SHRA- 228/10.9/7.6/1607/SC3SC7  UNOFF
2005/05/23 08:00:56 YVR SA 0800  35 FEW M55 BKN 72 OVC 15SHRA- 228/10.3/7.7/1204/SC2SC5AC3  UNOFF
2005/05/23 09:01:08 YVR SA 0900  35 FEW 60 SCT M110 OVC 15SHRA- 232/9.5/7.9/0906/SC3SC2AC4 5006 RMK PCPN VRY LGT UNOFF
2005/05/23 10:01:04 YVR SA 1000  35 FEW M61 BKN 100 OVC 15SHRA- 235/9.5/8.0/1005/SC3SC3AC4  UNOFF
2005/05/23 11:01:01 YVR SA 1100  35 FEW M68 BKN 100 OVC 15 237/9.3/7.6/1005/SC2AC5AC2  UNOFF
2005/05/23 12:00:58 YVR SA 1200  41 SCT M51 OVC 15SHRA- 240/9.2/7.9/0905/SC4SC6 2008 RMK PCPN VRY LGT UNOFF
2005/05/23 13:01:55 YVR SA 1300  M26 BKN 35 OVC 15SHRA- 242/9.4/8.4/0907/SC6SC4 RMK PCPN VRY LGT UNOFF
2005/05/23 14:03:14 YVR SA 1400  16 FEW M26 BKN 40 OVC 15SHRA- 245/10.2/8.1/1407/SC1SC8SC1 RMK PCPN VRY LGT UNOFF
2005/05/23 14:20:37 YVR SP 1418  20 FEW M26 BKN 40 OVC 15 ///1405/SC1SC8SC1  UNOFF
2005/05/23 15:01:46 YVR SA 1500  20 FEW M32 BKN 60 OVC 15 248/11.0/8.3/1206/SC1SC5SC3 2008  UNOFF
2005/05/23 16:00:59 YVR SA 1600  15 FEW M49 OVC 15 248/11.7/8.2/1409/TCU3SC6  UNOFF
2005/05/23 17:03:45 YVR SA 1700  M19 BKN 47 BKN 90 OVC 15 250/11.7/7.9/1206/SC6SC3AC1  UNOFF
2005/05/23 17:36:41 YVR SP 1734  17 SCT M42 BKN 60 OVC 15SHRA- ///1007/SC4SC5SC1 RMK VIS LWR N UNOFF
2005/05/23 18:03:45 YVR SA 1800  M18 BKN 36 BKN 60 OVC 15SHRA- 251/12.1/8.6/1309/SC6SC3SC1 5003 RMK PCPN VRY LGT UNOFF
2005/05/23 19:05:29 YVR SA 1900  23 SCT 34 SCT M41 BKN 15SHRA- 251/12.4/8.2/1407/SC4TCU1SC4 RMK PCPN VRY LGT UNOFF
2005/05/23 19:24:15 YVR SP 1923  M22 BKN 35 BKN 15 ///1507/SC6SC3 RMK TCU EMBD UNOFF
2005/05/23 20:04:45 YVR SA 2000  31 SCT M59 BKN 15 249/13.6/8.0/1705/TCU5SC3  UNOFF
2005/05/23 21:04:29 YVR SA 2100  M26 BKN 44 BKN 15 249/13.7/7.7/2402/TCU6SC3 6002  UNOFF
2005/05/23 22:02:28 YVR SA 2200  M29 BKN 56 BKN 15 246/15.6/9.6/2508/TCU7SC1 RMK CB TOP W UNOFF
2005/05/23 23:03:11 YVR SA 2300  35 SCT 220 -SCT 15 245/14.6/8.7/2706/TCU4CI0 RMK CB TOPS W UNOFF

2005/05/24 00:02:22 YVR SA 0000  37 FEW 220 -SCT 15 244/14.7/7.9/2808/TCU2CI0 6005 RMK CB TOPS W AND N UNOFF
2005/05/24 01:04:37 YVR SA 0100  37 FEW 90 FEW 220 FEW 15 243/14.2/8.0/2708/TCU1AC1CI1 RMK TR AC CB TOPS W AND ENE UNOFF
2005/05/24 02:00:44 YVR SA 0200  35 FEW 90 FEW 220 FEW 20 242/13.9/8.1/2710/TCU1AC1CI1 RMK TR AC CB TOPS SW - W QUAD UNOFF
2005/05/24 03:01:26 YVR SA 0300  35 FEW 120 FEW 220 FEW 20 242/13.1/7.3/2910/CU1AC1CI1 7002 RMK TR CI CB TOPS S QUAD / E QUAD UNOFF
2005/05/24 04:02:38 YVR SA 0400  35 FEW 120 FEW 220 FEW 20 245/11.8/7.3/2809/CF1AC1CI1 RMK TR CF CB TOP DIST NE QUAD UNOFF
2005/05/24 05:00:42 YVR SA 0500  150 -FEW 20 248/12.0/9.1/2811/AC1  UNOFF
2005/05/24 06:01:04 YVR SA 0600  220 FEW 15 250/11.4/9.4/2918/CI1 2008  UNOFF
2005/05/24 07:01:08 YVR SA 0700  35 -FEW 15 253/11.2/9.2/2914G19/CF0  UNOFF
2005/05/24 08:00:56 YVR SA 0800  35 FEW 15 254/10.9/8.9/2916/CF1  UNOFF
2005/05/24 08:35:27 YVR SP 0834  M13 BKN 15 ///2912G17/SC6  UNOFF
2005/05/24 08:46:04 YVR SP 0844  13 -SCT 15 ///3210G15/SC3  UNOFF
2005/05/24 09:00:54 YVR SA 0900  15 -FEW 15 255/10.4/8.3/3111/SF1 2005  UNOFF
2005/05/24 10:00:58 YVR SA 1000  35 FEW 15 259/8.4/6.7/0203/SF1  UNOFF
2005/05/24 11:03:14 YVR SA 1100  35 -SCT 15 263/8.0/6.8/0103/SC3  UNOFF
2005/05/24 12:01:04 YVR SA 1200  35 -FEW 15 265/8.4/6.6/0000/SC2 2010  UNOFF
2005/05/24 13:01:11 YVR SA 1300  22 -SCT 15 270/8.3/6.7/0704/SC3  UNOFF
2005/05/24 14:02:11 YVR SA 1400  M22 BKN 15 275/10.2/7.8/0000/SC7  UNOFF
2005/05/24 15:02:04 YVR SA 1500  12 FEW M19 BKN 15 278/11.5/8.3/2703/CF1SC8 2013  UNOFF
2005/05/24 16:02:27 YVR SA 1600  12 FEW M21 BKN 15 282/11.3/8.4/2707/CF1SC8  UNOFF
2005/05/24 17:02:48 YVR SA 1700  11 FEW M20 BKN 20 285/12.1/8.7/3006/CF1SC5  UNOFF
2005/05/24 18:03:33 YVR SA 1800  11 FEW M19 BKN 20 287/12.7/9.0/2905/CF1CU6 2009  UNOFF
2005/05/24 19:02:50 YVR SA 1900  15 FEW 20 SCT 20 289/13.7/9.7/2808/CF1CU4  UNOFF
2005/05/24 19:03:49 YVR SA 1900  15 FEW 20 SCT 20 289/13.7/9.7/2808/CF1CU4 RMK TCU ASOCTD UNOFF
Warning: at line 1464: duplicated data: prev hr = 11 PST  current hr = 11 PST
2005/05/24 20:02:38 YVR SA 2000  30 FEW 20 289/14.8/10.6/2708/CU2 RMK TCU ASOCTD UNOFF
2005/05/24 21:01:06 YVR SA 2100  35 FEW 220 FEW 20 287/15.0/9.7/3009/TCU1CI1 0000  UNOFF
2005/05/24 22:01:45 YVR SA 2200  35 FEW 220 FEW 20 285/15.6/9.7/2709/TCU1CI1  UNOFF
2005/05/24 23:01:07 YVR SA 2300  40 FEW 220 FEW 20 281/16.4/9.9/2810/TCU1CI1  UNOFF

2005/05/25 00:01:59 YVR SA 0000  45 FEW 20 278/16.6/10.4/2810/TCU1 7009  UNOFF
2005/05/25 01:01:14 YVR SA 0100  45 FEW 220 FEW 20 274/15.8/10.3/2909/TCU1CI1  UNOFF
2005/05/25 02:01:17 YVR SA 0200  45 FEW 220 FEW 20 270/15.4/10.4/2806/CU1CI1  UNOFF
2005/05/25 03:02:07 YVR SA 0300  40 FEW 220 -FEW 30 269/14.6/10.0/2905/CU1CI0 7009  UNOFF
2005/05/25 04:02:37 YVR SA 0400  40 FEW 230 -FEW 30 269/12.9/9.2/2806/CU1CI0  UNOFF
2005/05/25 05:01:01 YVR SA 0500  220 -FEW 30 274/13.5/9.9/2603/CI0  UNOFF
2005/05/25 06:02:49 YVR SA 0600  220 -FEW 30 278/13.4/9.7/2505/CI0 5009  UNOFF
2005/05/25 07:01:40 YVR SA 0700  220 -FEW 30 278/11.4/8.9/1005/CI0  UNOFF
2005/05/25 08:02:22 YVR SA 0800  20 FEW 30 279/10.2/8.4/0704/SF1  UNOFF
2005/05/25 09:02:30 YVR SA 0900  15 FEW 15 280/10.7/8.7/0904/SF1 5002  UNOFF
2005/05/25 10:01:22 YVR SA 1000  15 FEW 220 -FEW 20 284/10.1/7.8/3602/SF1CI0  UNOFF
2005/05/25 11:01:09 YVR SA 1100  220 -FEW 20 283/9.4/6.5/0000/CI0  UNOFF
2005/05/25 12:02:04 YVR SA 1200  220 FEW 20 282/9.0/6.8/0204/CI1 0002  UNOFF
2005/05/25 13:01:46 YVR SA 1300  220 FEW 30 282/9.6/7.5/0000/CI1  UNOFF
2005/05/25 14:04:26 YVR SA 1400  220 FEW 30 283/12.5/9.3/3005/CI1  UNOFF
2005/05/25 15:00:56 YVR SA 1500  220 FEW 30 283/13.3/10.2/3009/CI2 1001  UNOFF
2005/05/25 16:03:14 YVR SA 1600  220 FEW 30 282/14.4/10.8/3011/CI2  UNOFF
2005/05/25 17:02:46 YVR SA 1700  220 -SCT 30 279/15.0/11.2/2915/CI3  UNOFF
2005/05/25 18:02:28 YVR SA 1800  220 SCT 30 274/15.4/11.2/3014/CI5 0009  UNOFF
2005/05/25 19:02:03 YVR SA 1900  220 -BKN 30 268/16.2/11.4/3013/CI4  UNOFF
2005/05/25 20:00:55 YVR SA 2000  240 -SCT 30 262/17.6/11.5/3114/CI3  UNOFF
2005/05/25 21:02:34 YVR SA 2100  240 -SCT 30 253/17.6/11.5/3013/CI4 7021  UNOFF
2005/05/25 22:01:07 YVR SA 2200  240 -FEW 30 245/18.8/12.5/3015/CI2  UNOFF
2005/05/25 23:02:07 YVR SA 2300  240 FEW 30 238/19.1/11.3/3016/CI1  UNOFF

2005/05/26 00:03:38 YVR SA 0000  240 FEW 30 228/19.3/12.6/3114/CI1 7025  UNOFF
2005/05/26 01:02:47 YVR SA 0100  240 FEW 30 220/18.9/12.0/3113/CI1  UNOFF
2005/05/26 02:02:27 YVR SA 0200  240 FEW 30 213/17.9/12.0/3010G15/CI1  UNOFF
2005/05/26 03:02:16 YVR SA 0300  240 -FEW 30 208/17.8/10.7/3111/CI0 7020  UNOFF
2005/05/26 04:01:43 YVR SA 0400  240 -FEW 30 205/16.0/10.8/3113/CI0  UNOFF
2005/05/26 05:01:02 YVR SA 0500  240 -FEW 30 203/14.6/11.2/3107/CI0  UNOFF
2005/05/26 06:01:05 YVR SA 0600  240 -FEW 30 202/14.0/10.0/3207/CI0 6006  UNOFF
2005/05/26 07:01:08 YVR SA 0700  CLR 30 202/15.0/10.5/2703/  UNOFF
2005/05/26 08:01:02 YVR SA 0800  CLR 30 204/14.2/10.2/3003/  UNOFF
2005/05/26 09:01:33 YVR SA 0900  CLR 30 204/12.8/8.9/3403/ 5002  UNOFF
2005/05/26 10:03:04 YVR SA 1000  CLR 30 203/12.2/8.2/3603/  UNOFF
2005/05/26 11:00:56 YVR SA 1100  CLR 30 202/13.0/9.4/0000/  UNOFF
2005/05/26 12:01:13 YVR SA 1200  CLR 30 198/12.4/7.7/3404/ 0006  UNOFF
2005/05/26 13:03:05 YVR SA 1300  CLR 30 199/12.3/7.8/0502/  UNOFF
2005/05/26 14:02:00 YVR SA 1400  CLR 30 201/14.3/9.3/2905/  UNOFF
2005/05/26 15:01:38 YVR SA 1500  CLR 30 200/16.1/11.3/3007/ 0002  UNOFF
2005/05/26 16:03:10 YVR SA 1600  CLR 30 197/17.9/11.1/2909/  UNOFF
2005/05/26 17:02:38 YVR SA 1700  220 FEW 30 193/19.0/11.6/3008/CI1  UNOFF
2005/05/26 18:01:11 YVR SA 1800  220 FEW 30 191/19.6/12.0/2910/CI1 7009  UNOFF
2005/05/26 19:02:33 YVR SA 1900  220 FEW 30 188/19.9/11.7/3011/CI1  UNOFF
2005/05/26 20:03:19 YVR SA 2000  240 FEW 30 182/21.5/12.5/3012/CI1  UNOFF
2005/05/26 21:02:38 YVR SA 2100  240 FEW 30 175/22.3/11.9/3110/CI1 7016  UNOFF
2005/05/26 22:02:30 YVR SA 2200  240 FEW 30 169/23.4/11.7/3011/CI1  UNOFF
2005/05/26 23:02:47 YVR SA 2300  240 FEW 30 162/23.8/11.3/3011/CI1  UNOFF

2005/05/27 00:02:34 YVR SA 0000  240 FEW 30 155/23.8/10.0/3011/CI1 7020  UNOFF
2005/05/27 01:00:54 YVR SA 0100  240 FEW 30 148/23.7/11.3/3109/CI1  UNOFF
2005/05/27 02:00:58 YVR SA 0200  240 FEW 30 144/22.7/10.5/3008/CI1  UNOFF
2005/05/27 03:01:11 YVR SA 0300  240 FEW 30 138/20.2/11.4/3207/CI1 7017  UNOFF
2005/05/27 04:01:51 YVR SA 0400  240 FEW 30 139/17.4/13.5/3007/CI1  UNOFF
2005/05/27 05:00:55 YVR SA 0500  240 FEW 30 139/16.6/13.2/3207/CI1  UNOFF
2005/05/27 06:01:03 YVR SA 0600  240 FEW 30 140/15.8/13.2/2906/CI1 2002  UNOFF
2005/05/27 07:01:18 YVR SA 0700  CLR 30 141/16.5/11.8/3105/  UNOFF
2005/05/27 08:00:57 YVR SA 0800  CLR 30 142/15.3/11.6/3203/  UNOFF
2005/05/27 09:01:44 YVR SA 0900  CLR 30 143/15.5/11.2/0000/ 2003  UNOFF
2005/05/27 10:00:52 YVR SA 1000  CLR 30 142/14.8/9.8/3603/  UNOFF
2005/05/27 11:00:49 YVR SA 1100  CLR 30 141/14.6/8.2/3403/  UNOFF
2005/05/27 12:00:44 YVR SA 1200  CLR 30 143/15.0/9.0/2003/ 5000  UNOFF
2005/05/27 13:01:54 YVR SA 1300  CLR 30 146/14.1/9.0/3406/  UNOFF
2005/05/27 14:02:28 YVR SA 1400  CLR 30 145/16.4/11.0/3007/  UNOFF
2005/05/27 15:03:08 YVR SA 1500  230 FEW 30 143/17.5/11.5/3207/CI1 0000  UNOFF
2005/05/27 16:02:43 YVR SA 1600  230 FEW 30 141/19.5/9.7/3011G17/CI1  UNOFF
2005/05/27 17:01:44 YVR SA 1700  230 FEW 30 139/20.0/12.0/2908/CI1  UNOFF
2005/05/27 18:02:39 YVR SA 1800  230 FEW 30 136/19.3/12.9/2911/CI1 7007  UNOFF
2005/05/27 19:02:32 YVR SA 1900  230 FEW 30 132/21.1/11.8/3009/CI1  UNOFF
2005/05/27 20:02:29 YVR SA 2000  230 FEW 30 125/22.1/13.2/3009/CI1  UNOFF
2005/05/27 21:02:30 YVR SA 2100  230 FEW 30 119/22.9/13.6/2909/CI1 7017  UNOFF
2005/05/27 22:03:19 YVR SA 2200  240 FEW 30 113/23.9/14.3/3009/CI1  UNOFF
2005/05/27 23:01:57 YVR SA 2300  240 FEW 30 105/25.2/15.7/2908/CI1  UNOFF

2005/05/28 00:02:06 YVR SA 0000  240 FEW 30 095/25.2/13.8/3108/CI1 7024  UNOFF
2005/05/28 01:02:25 YVR SA 0100  240 FEW 30 087/24.7/13.6/2907/CI1  UNOFF
2005/05/28 02:01:15 YVR SA 0200  240 -FEW 30 080/22.8/13.7/3008/CI0  UNOFF
2005/05/28 03:01:21 YVR SA 0300  CLR 30 078/20.7/13.4/2706/ 6017  UNOFF
2005/05/28 04:01:06 YVR SA 0400  CLR 30 075/18.2/14.2/2703/  UNOFF
2005/05/28 05:01:49 YVR SA 0500  CLR 30 075/18.3/11.9/3003/  UNOFF
2005/05/28 06:01:22 YVR SA 0600  CLR 30 075/19.0/13.0/2802/ 6003  UNOFF
